ubigeo,anio,cluster
040110,2020,10
040111,2020,10
040112,2020,10
040113,2020,8
040114,2020,8
040115,2020,8
040116,2020,10
040117,2020,10
040118,2020,8
040119,2020,8
040120,2020,8
040121,2020,8
040122,2020,10
040123,2020,10
040124,2020,8
040125,2020,8
040126,2020,10
040127,2020,8
040128,2020,8
040129,2020,10
040201,2020,1
040202,2020,1
040203,2020,8
040204,2020,1
040205,2020,1
040206,2020,8
040207,2020,8
040208,2020,1
040301,2020,8
040302,2020,8
040303,2020,8
040304,2020,8
040305,2020,8
040306,2020,8
040307,2020,8
040308,2020,8
040309,2020,8
040310,2020,8
040311,2020,8
040312,2020,8
040313,2020,8
040401,2020,8
040402,2020,8
040403,2020,8
040404,2020,8
040405,2020,8
040406,2020,8
040407,2020,8
040408,2020,8
040409,2020,8
040410,2020,8
040411,2020,8
040412,2020,8
040413,2020,8
040414,2020,8
040501,2020,8
040502,2020,8
040503,2020,8
040504,2020,9
040505,2020,9
040506,2020,8
040507,2020,8
040508,2020,8
040509,2020,8
040510,2020,8
040511,2020,8
040512,2020,8
040513,2020,8
040514,2020,9
040515,2020,9
040516,2020,8
040517,2020,9
040518,2020,8
040519,2020,8
040520,2020,8
040601,2020,8
040602,2020,8
040603,2020,9
040604,2020,8
040605,2020,8
040606,2020,8
040607,2020,8
040608,2020,8
040701,2020,8
040702,2020,8
040703,2020,1
040704,2020,8
040705,2020,1
040706,2020,8
040801,2020,8
040802,2020,8
040803,2020,6
040804,2020,8
040805,2020,8
040806,2020,9
040807,2020,6
040808,2020,6
040809,2020,6
040810,2020,8
040811,2020,6
050101,2020,0
050102,2020,0
050103,2020,0
050104,2020,0
050105,2020,0
050106,2020,5
050107,2020,0
050108,2020,0
050109,2020,0
050110,2020,10
050111,2020,0
050112,2020,0
050113,2020,0
050114,2020,0
050115,2020,0
050116,2020,10
050201,2020,0
050202,2020,5
050203,2020,0
050204,2020,0
050205,2020,9
050206,2020,5
050301,2020,9
050302,2020,5
050303,2020,5
050304,2020,9
050401,2020,0
050402,2020,5
050403,2020,0
050404,2020,0
050405,2020,0
050406,2020,5
050407,2020,3
050408,2020,3
050409,2020,3
050410,2020,5
050411,2020,3
050412,2020,5
050413,2020,3
050501,2020,0
050502,2020,3
050503,2020,3
050504,2020,0
050505,2020,3
050506,2020,5
050507,2020,3
050508,2020,0
050509,2020,3
050510,2020,3
050511,2020,3
050512,2020,3
050513,2020,3
050514,2020,0
050515,2020,0
050601,2020,8
050602,2020,5
050603,2020,9
050604,2020,9
050605,2020,8
050606,2020,9
050607,2020,6
050608,2020,8
050609,2020,8
050610,2020,8
050611,2020,8
050612,2020,8
050613,2020,8
050614,2020,8
050615,2020,8
050616,2020,8
050617,2020,8
