ubigeo,personal_total,programa_anemia,centro_salud_municipal,Año
100113,29,0,0,2021
100201,194,0,0,2021
100202,8,0,0,2021
100203,1,1,0,2021
100204,15,1,0,2021
100205,31,1,0,2021
100206,11,0,0,2021
100207,28,1,0,2021
100208,15,0,0,2021
100301,34,0,0,2021
100307,1,1,0,2021
100311,8,1,0,2021
100313,39,1,0,2021
100316,3,0,0,2021
100317,1,0,0,2021
100321,1,1,0,2021
100322,1,1,0,2021
100323,3,1,0,2021
100401,65,1,0,2021
100402,17,1,0,2021
100403,10,1,0,2021
100404,10,1,0,2021
100501,57,0,0,2021
100502,1,0,1,2021
100503,2,1,0,2021
100504,7,1,0,2021
100505,4,1,0,2021
100506,0,0,0,2021
100507,40,0,0,2021
100508,2,0,0,2021
100509,5,1,0,2021
100510,3,1,1,2021
100511,2,1,1,2021
100601,372,1,0,2021
100602,37,0,0,2021
100603,21,1,0,2021
100604,106,0,0,2021
100605,23,1,0,2021
100606,46,1,0,2021
100607,30,0,0,2021
100608,51,0,0,2021
100609,23,1,0,2021
100610,4,1,0,2021
100701,105,0,0,2021
100702,25,1,1,2021
100703,7,1,0,2021
100704,4,0,0,2021
100705,6,0,0,2021
100801,108,0,0,2021
100802,51,1,0,2021
100803,29,1,0,2021
100804,36,1,0,2021
100901,86,0,0,2021
100902,42,1,0,2021
100903,24,1,0,2021
100904,13,1,0,2021
100905,41,0,0,2021
101001,27,1,0,2021
101002,2,1,0,2021
101003,4,1,1,2021
101004,1,1,0,2021
101005,6,1,0,2021
101006,1,0,1,2021
101007,28,1,0,2021
101101,39,1,0,2021
101102,1,1,0,2021
101103,7,1,0,2021
101104,7,0,0,2021
101105,4,1,0,2021
101106,10,1,0,2021
101107,13,0,0,2021
101108,7,1,0,2021
110101,903,1,0,2021
110102,138,0,0,2021
110103,78,1,0,2021
110104,13,0,0,2021
110105,18,0,1,2021
110106,180,1,0,2021
110107,38,1,0,2021
110108,90,1,0,2021
110109,35,1,0,2021
110110,39,1,0,2021
110111,115,0,0,2021
110112,77,1,0,2021
110113,21,0,0,2021
110114,10,0,0,2021
110201,336,1,0,2021
110202,27,0,1,2021
110203,13,0,0,2021
110204,58,0,0,2021
110205,47,0,0,2021
110206,46,1,0,2021
110207,77,1,0,2021
110208,2,0,0,2021
110209,3,0,0,2021
110210,76,1,0,2021
110211,27,1,0,2021
110301,180,0,0,2021
110302,9,1,0,2021
110303,7,0,0,2021
110304,43,1,0,2021
110305,113,0,0,2021
110401,41,0,0,2021
110402,12,0,0,2021
110403,14,0,0,2021
110404,4,0,0,2021
110405,9,0,0,2021
110501,237,1,0,2021
110502,5,0,0,2021
110503,83,0,0,2021
110504,88,1,0,2021
110505,150,1,0,2021
110506,77,1,0,2021
110507,130,1,0,2021
110508,42,1,0,2021
120101,888,1,1,2021
120104,2,1,0,2021
120105,4,0,0,2021
120106,2,0,0,2021
120107,354,1,0,2021
120108,8,0,1,2021
120111,3,0,0,2021
120112,1,0,0,2021
120113,6,0,0,2021
120114,793,0,0,2021
120116,6,1,0,2021
120117,14,1,0,2021
120119,73,0,0,2021
120120,2,0,0,2021
120121,22,1,0,2021
120122,5,0,0,2021
120124,8,0,0,2021
120125,54,0,0,2021
120126,20,0,0,2021
120127,7,1,0,2021
120128,17,0,0,2021
120129,47,1,0,2021
120130,50,1,1,2021
120132,12,0,0,2021
120133,50,1,0,2021
120134,32,1,0,2021
120135,13,0,0,2021
